ClienteID,Nombre,Apellido,Estado,FechaNacimiento,Segmento
C00001,Ana,Flores,Sinaloa,1963-01-07,Oro
C00002,,García,Jalisco,1975-03-13,Bronce
C00003,Alejandro,Morales,Ciudad de México,1987-03-30,Plata
C00004,Luis,Mendoza,Nuevo León,2000-06-23,Bronce
C00005,Mariana,Ramírez,Sinaloa,1955-11-23,Bronce
C00006,Sofía,Mendoza,Coahuila,1966-01-07,Bronce
C00007,Diego,Rodríguez,Sonora,1986-06-07,Plata
C00008,Carlos,Pérez,Sonora,1991-04-30,Bronce
C00009,Laura,Vargas,Ciudad de México,1992-07-08,Bronce
C00010,Carlos,Díaz,Veracruz,1997-09-10,Bronce
C00011,Laura,Hernández,Ciudad de México,1955-09-25,Bronce
C00012,Paola,García,Nuevo León,1980-10-16,Plata
C00013,Jorge,García,Veracruz,1981-10-26,Oro
C00014,Mariana,Rodríguez,Jalisco,1969-01-27,Plata
C00015,Daniela,Flores,Yucatán,2003-05-30,Bronce
C00016,Diego,Díaz,Coahuila,1994-01-08,Bronce
C00017,Eduardo,hernández,Sinaloa,1995-02-16,Plata
C00018,Paola,González,Coahuila,2000-07-12,Bronce
C00019,Andrés, Ortiz ,Ciudad de México,1995-11-03,Bronce
C00020,Andrés,Rodríguez,Tamaulipas,1956-02-23,Oro
C00021,Ana,García,Sinaloa,1964-05-09,Bronce
C00022,Valeria,López,Tamaulipas,1990-07-12,Bronce
C00023,Diego,Castillo,Ciudad de México,1985-11-04,Plata
C00024,Sofía,Martínez,Ciudad de México,1979-07-03,Bronce
C00025,Sofía,Morales,Baja California,1987-06-28,Plata
C00026,Paola,García,Tamaulipas,1984-04-19,Bronce
C00027,Eduardo,Gómez,Coahuila,1985-04-02,Plata
C00028,Sofía,Rodríguez,Nuevo León,1998-06-20,Bronce
C00029,Daniela,Torres,Puebla,1963-12-29,Oro
C00030,Gabriela,Ramírez,Chihuahua,1958-03-10,Plata
C00031,María,Mendoza,Baja California,2004-06-18,Oro
C00032,Fernanda,Ramírez,Coahuila,1961-11-21,Bronce
C00033,Daniela,Mendoza,Baja California,1955-06-05,Bronce
C00034,Mariana,Pérez,Nuevo León,1981-07-11,Plata
C00035,Gabriela,Díaz,Tamaulipas,1955-04-17,Bronce
C00036,Sofía,Flores,sonora,1978-12-29,Plata
C00037,Paola,Rivera,Coahuila,2001-12-01,Bronce
C00038,Eduardo,García,Tamaulipas,1970-10-09,Bronce
C00039,Sofía,Martínez,Sonora,1970-06-26,Plata
C00040,Valeria,Ramírez,Nuevo León,1972-03-28,Plata
C00041,Eduardo,Sánchez,Nuevo León,1962-06-12,Oro
C00042,Sofía,Gómez,Jalisco,1974-06-21,Plata
C00043,Sofía,García,Nuevo León,1986-03-15,Bronce
C00044,Carlos,Vargas,Chihuahua,1969-07-31,Oro
C00045,Ana,Hernández,Baja California,1998-03-26,Bronce
C00046,Jorge,Mendoza,Baja California,1967-11-09,Platino
C00047,Ana,González,Sinaloa,1965-05-02,Bronce
C00048,Alejandro,Ramírez,Puebla,1984-06-22,Bronce
C00049,Daniela,Sánchez,Chihuahua,2003-03-23,Bronce
C00050,Carlos,Jiménez,Sonora,1981-11-21,Plata
C00051,Miguel,Jiménez,Yucatán,1986-12-08,Oro
C00052,Ana,Jiménez,Coahuila,2002-05-19,Platino
C00053,María,Vargas,Nuevo León,1980-03-26,Bronce
C00054,Jorge,López,Chihuahua,1955-02-21,Plata
C00055,,Pérez,Coahuila,1992-03-09,Oro
C00056,Gabriela,Flores,Tamaulipas,1969-07-28,Plata
C00057,Diego,Rivera,Ciudad de México,2005-08-21,Bronce
C00058,Mariana,González,Coahuila,1969-06-02,Oro
C00059,Carlos,Vargas,Puebla,1999-11-04,Platino
C00060,,Vargas,Chihuahua,1988-11-22,Bronce
C00061,Valeria,Morales,Ciudad de México,1961-07-06,Plata
C00062,Mariana,Morales,Sinaloa,1981-03-27,Oro
C00063,Fernanda,Castillo,Puebla,1963-09-06,Plata
C00064,Andrés,Mendoza,Yucatán,1997-01-21,Oro
C00065,Jorge,Ramírez,Yucatán,1978-11-08,Plata
C00066,Sofía,Hernández,Yucatán,1975-09-01,Bronce
C00067,Carlos,Jiménez,Sonora,1999-08-31,Plata
C00068,Andrés,Ramírez,Jalisco,1988-12-11,Oro
C00069,Sofía,Flores,Jalisco,2004-10-19,Bronce
C00070,Gabriela,Sánchez,Veracruz,1990-12-08,Bronce
C00071,Valeria,Morales,Veracruz,1977-04-15,Bronce
C00072,Diego,Díaz,Coahuila,2004-06-27,Plata
C00073,Daniela,López,Nuevo León,1986-08-04,Bronce
C00074,Eduardo,Flores,Veracruz,1961-08-14,Oro
C00075,Jorge,Díaz,Baja California,1974-07-31,Platino
C00076,Andrés,Rivera,Nuevo León,1992-10-13,Bronce
C00077,Mariana,Flores,Tamaulipas,1964-03-25,Oro
C00078,Diego,López,Puebla,1958-04-13,Plata
C00079,Valeria,Rodríguez,Tamaulipas,1980-10-31,Bronce
C00080,Valeria,Jiménez,Nuevo León,1986-05-08,Plata
C00081,Valeria,Morales,Yucatán,2001-07-17,Bronce
C00082,Luis,Rodríguez,Tamaulipas,1960-06-07,Oro
C00083,Miguel,Sánchez,Coahuila,1966-08-28,Plata
C00084,Alejandro,Sánchez,Puebla,1958-02-18,Plata
C00085,Mariana,González,Ciudad de México,1963-10-10,Oro
C00086,Sofía,González,Veracruz,1986-02-19,Bronce
C00087,,Martínez,Veracruz,1980-06-21,Bronce
C00088,Eduardo,Rodríguez,Veracruz,1997-10-21,Plata
C00089,Mariana,González,Sinaloa,1992-12-11,Bronce
C00090,Carlos,Sánchez,Sinaloa,1961-12-26,Bronce
C00091,Ricardo,Torres,Puebla,1981-04-21,Bronce
C00092,Laura,Pérez,Yucatán,1992-12-17,Plata
C00093,Daniela,Jiménez,Sinaloa,1980-09-10,Plata
C00094,Ana,Torres,Tamaulipas,1970-09-12,Bronce
C00095,Gabriela,Gómez,,1995-12-16,Plata
C00096,Ana,Castillo,Ciudad de México,1962-12-30,Oro
C00097,Miguel,González,Veracruz,1960-01-28,Oro
C00098,Jorge,Castillo,Sinaloa,2001-04-28,Platino
C00099,Ricardo,Mendoza,Baja California,1966-09-11,Bronce
C00100,Jorge,Gómez,Veracruz,1978-04-21,Bronce
C00101,Paola,Gómez,Veracruz,1976-05-13,Plata
C00102,María,Rivera,Coahuila,1989-10-15,Bronce
C00103,Diego,Rodríguez,Chihuahua,1986-06-20,Plata
C00104,Diego,Gómez,Nuevo León,1986-01-21,Bronce
C00105,Miguel,Ramírez,Sinaloa,1987-08-21,Plata
C00106,Ana,Flores,Baja California,1983-12-21,Oro
C00107,Daniela,López,Yucatán,1982-12-29,Plata
C00108,Miguel,Hernández,Chihuahua,1964-05-06,Oro
C00109,Alejandro,Ramírez,Ciudad de México,1999-07-16,Plata
C00110,Alejandro,,Yucatán,1976-04-01,Oro
C00111,Diego,Castillo,Yucatán,1971-11-12,Oro
C00112,Daniela,Torres,Puebla,1995-08-05,Plata
C00113,Valeria,Mendoza,Veracruz,1989-06-25,Bronce
C00114,Paola,Hernández,Nuevo León,1968-03-01,Bronce
C00115,Luis,Hernández,Veracruz,1996-09-29,Plata
C00116,Fernanda,López,Sinaloa,1959-03-04,Plata
C00117,Luis,Rodríguez,Puebla,1968-03-16,Plata
C00118,Diego,Gómez,Coahuila,1989-09-02,Oro
C00119,Daniela,Sánchez,Chihuahua,2001-05-29,Platino
C00120,Paola,Jiménez,Sonora,1993-02-12,Plata
C00121,Laura,Mendoza,Baja California,1998-02-01,Platino
C00122,Jorge,García,Coahuila,1996-12-24,Oro
C00123,Alejandro,Gómez,Baja California,1985-05-21,Oro
C00124,Eduardo,Gómez,Puebla,1986-04-14,Oro
C00125,Miguel,Ortiz,Jalisco,1974-04-23,Bronce
C00126,Alejandro,Torres,Yucatán,1970-01-27,Bronce
C00127,Paola,Hernández,Veracruz,1958-05-27,Oro
C00128,Daniela,García,Tamaulipas,1963-10-24,Plata
C00129,Mariana,Martínez,Veracruz,1989-07-31,Bronce
C00130,Miguel,Vargas,Jalisco,1970-06-27,Oro
C00131,Daniela,Hernández,Coahuila,1994-11-30,Bronce
C00132,Ana,Morales,Ciudad de México,1955-02-07,Bronce
