EmpleadoID,Nombre,Apellido,Departamento,FechaContratacion,Salario
E0001,Valeria,Hernández,Ventas,2020-10-11,35522
E0002,María,González,Almacén,2018-09-24,54741
E0003,Laura,Sánchez,Atención al Cliente,2018-01-04,43244
E0004,Ricardo,García,Atención al Cliente,2025-07-08,21068
E0005,Andrés,Díaz,TI,2018-07-14,16369
E0006,Valeria,Gómez,Administración,2017-11-20,50519
E0007,Jorge,Jiménez,Ventas,2022-09-02,19713
E0008,Luis,Castillo,Almacén,2018-06-14,22374
E0009,Carlos,Sánchez,Ventas,2024-07-16,43513
E0010,Sofía,González,Administración,2024-12-02,28060
E0011,María,Flores,Almacén,2020-09-28,23966
E0012,María,Rodríguez,Atención al Cliente,2019-07-26,39287
E0013,Eduardo,Díaz,Administración,2021-01-15,50920
E0014,Gabriela,Díaz,TI,2019-05-26,17711
E0015,Fernanda,Gómez,Atención al Cliente,2022-02-26,20191
E0016,Sofía,Mendoza,TI,2025-03-18,17495
E0017,Diego,García,Atención al Cliente,2017-01-01,38270
E0018,Eduardo,Vargas,Atención al Cliente,2023-10-18,52931
E0019,Sofía,Gómez,Almacén,2024-06-19,41842
E0020,María,García,Almacén,2025-07-06,12306
E0021,Jorge,Hernández,Ventas,2025-08-26,49102
E0022,Ricardo,Ortiz,Almacén,2018-11-30,44053
E0023,Miguel,Martínez,Atención al Cliente,2021-04-08,29184
E0024,Gabriela,Hernández,Ventas,2021-08-07,24129
E0025,Diego,Jiménez,Ventas,2017-12-28,27982
E0026,Valeria,Torres,TI,2018-07-20,36303
E0027,Luis,Rodríguez,Almacén,2020-11-21,34951
E0028,Gabriela,Díaz,Ventas,2020-04-07,44390
E0029,Valeria,Mendoza,Ventas,2019-03-30,29683
E0030,Miguel,Morales,Almacén,2022-01-06,13685
E0031,María,López,Ventas,2017-07-19,23376
E0032,Alejandro,Sánchez,Almacén,2022-01-24,30527
E0033,Gabriela,Rivera,Almacén,2024-06-14,35581
E0034,Miguel,García,Administración,2023-04-12,18272
E0035,Diego,Díaz,Atención al Cliente,2018-05-06,36991
E0036,José,Ortiz,TI,2021-05-18,18973
E0037,Miguel,Castillo,Ventas,2018-12-05,40443
E0038,Fernanda,Rivera,Almacén,2017-09-28,26129
E0039,Valeria,Mendoza,TI,2021-09-26,19519
E0040,Laura,Rivera,Administración,2018-01-15,14308
E0041,Diego,Ramírez,Ventas,2021-01-29,47579
E0042,Miguel,González,Almacén,2022-08-01,46106
E0043,Fernanda,Ramírez,Ventas,2020-12-22,20473
E0044,Miguel,Ramírez,Ventas,2019-09-25,28028
E0045,Diego,Mendoza,Almacén,2020-11-17,18893
E0046,Laura,Ramírez,Almacén,2017-11-30,45598
E0047,Laura,Flores,TI,2023-12-21,54079
E0048,Luis,Hernández,Ventas,2019-10-02,44889
E0049,Fernanda,Jiménez,Almacén,2024-11-19,40985
E0050,Fernanda,Ortiz,Atención al Cliente,2024-03-08,20840
E0051,Miguel,González,Almacén,2018-04-14,45341
E0052,Daniela,González,TI,2018-09-29,28382
E0053,Ricardo,Gómez,Atención al Cliente,2019-07-15,47889
E0054,Carlos,Gómez,TI,2024-04-22,32936
